id	vota_aca	zamora	cabandie	carrio	bergman	altamira	hagman	filmus	solanas	michetti	dellecarbonara	lozano	comentarios	curso
45	1	3	22	3	10	1	1	25	13	18	1	3		1
40	1	10	8	25	27	20	10	10	32.5	27.5	15	10		1
39	0	\N	15	25	28	6	\N	11	20	30	\N	10		1
36	1	4.2	23.3	33.3	31.9	4.5	2.8	27.5	29.8	34.2	1.2	8.1		1
33	0	\N	\N	30	5	1	0.95	10	10	40	1	0.05		1
32	0	15	15	15	15	20	20	10	20	30	20	20		1
30	0	1.3	30	30.5	25	1.9	1	29.5	1.2	35.5	1.2	1		1
25	1	26	18	12	28	2	14	20	20	40	10	10		1
28	n	8	25	13	42	6	6	31	16	47	3	3		1
27	0	1.01	18.2	22.1	23.8	2.15	2.2	20.2	21.5	25.2	2.5	1.8		1
21	0	6	50.9	20.1	15	2	6	30	10	52	4	4		1
20	0	10	20	10	22	7	15	20	20	30	10	20		1
18	0	20	20	15	38	5	2	20	30	35	5	10		1
15	0	8.9	18.3	23.8	23.5	19	6.5	22.5	27.8	33.9	8.5	7.5		1
14	0	9	19	11	25	17	11	22	9	24	13	10		1
12	1	5	15	27	35	8	10	31	7	49	8	5		1
10	1	23	20	17	10	10	10	30	20	30	10	10		1
9	1	5	25	30	30	7	4	20	35	40	2.5	2.5		1
5	\N	11.9	35.3	24.3	25.8	1.5	1.2	33.5	15.2	32.5	6.5	12.3		1
3	0	1	2	15	10	0.5	0.5	30	15	20	15	20		1
2	0	10	12	25	35	10	8	14	28	35	8	8		1
51	0	5	25	10	5.5	5.5	10.5	10.5	10.5	19.5	3.5	2.5		1
54	1	9	19	24	28	9	9	23	25	35	14	3		2
57	0	15	18.5	18	29	5	14.5	25	20	30	8	7		2
59	0	7	15	21	15	8	14.5	25	20	30	8	7		2
61	1	2	19	37	25	15	2	27	23	39	2	9		2
63	0	3	18	35	37	5	2	20	30	45	3	2		2
64	0	8.25	19.3	9.8	40.73	13.2	7.2	10.9	27.35	33.4	6.7	15.75		2
66	1	10.2	15.4	12.3	52.7	9.1	0.3	11.8	37.9	30.1	15.6	4.6		2
68	1	4	11	28	24	3	1	11	17	25	2	5		2
71	0	10	25	25	30	5	5	25	15	35	15	10		2
73	1	4	10	27	25	8	2	12	18.1	27	2	5		2
75	1	2.8	25	15	30	5.7	4.2	20	18	32	3.8	1.5		2
77	0	1	10	32	34	15	8	40	10	30	10	10		2
78	0	13	5	15	40	20	2	25	15	30	20	10		2
80	0	8.2	19.5	21.3	35.7	15	6.1	29.2	15.1	32.5	12.4	5.3		2
82	0	19.2	42.2	8	22.7	5.6	2.3	32	19	41.8	2.8	4.4		2
85	1	1	20	35	42.5	1	0.5	19	35	45	0.5	0.5		2
86	0	13	26	20	30	6	4	28	24	33	2	11		2
88	1	25	21	13	8	10	23	28	15	37	12	8		2
91	0	20.8	10.8	30.8	10.2	11.2	15.2	30.8	20.5	30.5	13.2	8.2		2
93	0	2.5	13	20	25	4	0.5	22	27	35	0.2	3		2
94	1	1	15	2	10	2	5	16	3	20	10	5		2
96	1	15.3	11.5	22.1	38.2	12.75	0.15	13.8	14.1	35.6	7.6	28.9		2
98	0	16	18	37	25	2	2	20	30	45	3	2		2
100	0	1.5	20.2	10.25	54.65	10.2	3.2	21.8	18.8	35.4	8.2	15.8		2
103	0	8	7	21	18	3.25	1.3	10.5	15	31	5.5	8.25		2
105	1	1.58	10.6	14.78	20.5	15.5	8.3	24.32	14.6	28.9	5	3.7		2
107	1	5	20	20	40	10	1	25	18	53	1	1		2
109	1	1.5	24	25	27	1	1.5	28	30	35	2	1		2
110	1	2.5	20	30	40	5	2.5	30	20	45	1	4		2
112	1	1.5	23.5	29.5	37	2.5	6	25	29.5	37	2.5	6		2
113	1	2	15	30	50	2	1	15	10	60	5	5		2
116	0	\N	15	21	14	\N	\N	16	25	30	\N	\N		2
118	0	2	\N	20	10	2	\N	25	12	38	\N	\N		2
120	1	3.2	17.5	28.03	35.15	6.12	10	27.13	26.2	34.15	7.2	15.32		2
121	0	6	18	22	24	1	0.7	16	23	15	3	2		2
124	1	20	20	20	10	10	20	20	20	20	10	16		2
127	0	3	25	20	10	5	25	25	10	30	10	15		2
128	0	10	25	30	15	10	10	10	40	40	5	5		2
132	\N	\N	5	20	90	\N	\N	43	13	5	\N	\N		2
134	0	12.5	30	12.5	5	4	1	30	20	15	10	25		2
136	0	5	40	15	15	15	10	40	15	25	10	10		2
164	1	2.1	28.9	30.9	32.9	2.1	2.1	29.5	33.5	34	1.9	2	p	21
162	0	7	20	18	30	16	9	26	13	39	14	8		21
161	0	5	25	22	20	15	10	20	20	23	18	15		21
158	1	4.7	21.9	27.7	32.8	6.1	3.2	19.7	28.6	36.9	5.1	5.3		21
157	0	2	3	0.8	25	30	25	20	30	25	5	7		21
154	1	\N	28	38	22	\N	\N	21	17	27	\N	\N		21
152	1	10.9	20.1	12.1	18.2	1.01	8	3.01	3.02	32.8	2	1.1		21
150	1	0.5	30	25	30	0.5	14	30	19	35	1	15		21
148	1	4	25	22	30	8	6	31	20	38	6	5		21
147	0	2	24.2	29.6	40.2	3.2	0.8	31.4	24.3	42.3	1.8	0.2		21
145	0	18	20	25	30	3	4	27	25	30	7	11		21
137	1	3	26	36	27	3.5	1.5	25	32	38	3	2		21
139	1	4	19	29	40	5	3	20	30	46	1	3		21
140	1	1.7	21	23	48.5	4.5	1.3	29	17	45.4	6	2.6		21
178	1	5	20	40	30	3	2	20	20	40	10	10		22
175	0	5	10	10	50	15	10	32	15	45	4	4		22
173	0	12	15	28	30	10	5	15	28	30	12	15		22
172	0	10	12	25	30	10	5	20	30	35	5	10		22
170	1	2	4.7	30.8	50.2	10.3	3	7	25.7	55	5.7	5.6		22
168	0	11	26.8	15.7	8	7.8	9.6	26.8	11.5	11.7	10	12		22
210	1	5.05	18.11	32.81	12.01	4.1	2.01	10.92	12.01	22.12	2.75	\N		23
208	1	5	15	40	25	10	5	20	28	40	5	7		23
206	1	0.5	17.6	25.2	31.4	7.9	4	27.4	26.6	36.5	3.2	6.3		23
203	1	7	20	25	35	8	5	20	35	42	1	2		23
202	0	4	18	19	28	9	2	20	24	39	\N	\N		23
199	0	6.5	22.9	10.5	30.9	4.5	3.8	25.7	28.8	30.8	8.5	5.5		23
198	0	5	19	15	21	15	18	15	15	25	11	8		23
196	0	10	18	27	9	6	4	22	25	15	3	12		23
194	1	7	18	17	28	15	15	11	25	43	3	12		23
191	1	1.87	19.38	33.46	35.71	4.07	1.78	21.45	31.3	36.35	2.55	2.45		23
190	0	3.7	17.6	24.6	11.9	4.9	4.9	19.8	18.9	24.5	6.7	5.9		23
187	0	5.2	24.9	28.5	23.7	15.7	2	25.7	27.5	26.9	3.2	17.7		23
186	1	3	20	30	36	4	7	20	32.5	37.5	5	5		23
183	1	0.85	19.15	31.02	40.83	5.47	0.38	23.82	17.12	36.93	12.85	9.28		23
181	0	5	18	25	35	5	10	25	15	35	10	10		23
231	1	5	15	35	30	10	5	15	30	40	7.5	7.5		24
229	0	10	5	5	20	10	5	10	5	20	5	5		24
225	1	2	45	25	20	3	1	40	25	30	1	4	p	24
226	0	10	15	35	20	5	15	15	25	35	10	15		24
222	0	20	10	10	50	5	5	42	19	18	10	11		24
221	0	4	20	23	25	10	18	25	18	35	12	10		24
218	0	7	26	27	10	19	11	22	17	34	18	9		24
217	1	2.7	20	30	40.6	5.7	1	10.9	30.2	57.2	0.9	0.8		24
216	0	3	36	11	38	8	3	34	23	35	3	5		24
212	1	6.5	15.5	37.2	33.8	6	1	25	28.2	29.8	7	10		24
232	1	40	15	10	15	10	10	30	15	25	20	10		4
233	1	11	9	35	38	5	2	28	25	40	2	5		4
234	0	7.6	24.3	9.8	48.2	5	5.1	28.3	15.2	44.5	6	6		4
235	1	8	15	20	35	8	8	20	25	35	8	8		4
236	1	6	29	16	33	5	3	32	25	38	1	3		4
237	1	5	5	45	35	5	5	10	35	35	10	10		4
238	0	4	25	29	30	2	1	28	29	35	4	2		4
239	0	15	12	40	30	23	10	15	12	40	23	10		4
240	1	\N	25	\N	35	\N	\N	30	10	40	10	10		4
241	1	10	35	20	30	3	2	38	15	40	5	2		4
242	1	2	10	48	30	5	5	5	30	35	10	20		4
243	1	2	20	30	42	4	2	20	30	42	4	2		4
244	1	5	21	38	26	8	2	20	34	41	3	2		4
245	1	3	25	28	38	3	3	20	30	42	2	6		4
246	1	2.5	15	30	40	2.5	10	20	30	40	2	8		4
247	1	5	25	40	12	10	8	15	15	40	10	20		4
248	1	5	6	26	43	15	5	20	26	43	6	5		4
249	1	5	27.7	8.3	41.8	12.3	3	11.9	15.4	47.8	3	6		4
250	1	5	20	24	29	19	3	39	19	29	6	7		4
251	0	10	24	21	10	27	8	31	17	33	10	9		4
726	1	11	19.5	23.2	28.3	12	6	23.1	24.5	38.6	5	8.8		32
727	1	7	22	10	31	12	7	22	10	31	9	4		32
728	1	10	20	25	30	7	8	30	20	40	4	6		32
729	1	1.3	32.28	20.18	43.7	2.4	0.14	11.14	29.75	53.18	2.44	3.49		32
730	1	7	30	20	30	3	10	30	10	30	15	15		32
731	0	9	20	25	30	10	6	20	25	35	8	12		32
732	0	8	22	36	28	4	2	15	30	45	2	8		32
733	0	0.5	25	34	38	2	0.5	20	32	45	1	2		32
734	0	1	3	7	15	5	1	10	5	40	2	1		32
735	1	4	25	30.5	35	2	3.5	25	13.5	60.5	0.5	0.5		32
736	0	8	27	15	38	1.2	10	27	15	38	1.2	18.8		32
737	0	3	23	28	34	8	3	24	29	33	7	7		32
738	0	15	20	13	25	15	12	20	15	35	15	15		32
739	0	1	10	45.8	37.2	6	1	19.3	38.7	33.5	5	5		32
740	0	10	10	40	25	5	10	20	20	40	10	10		32
741	0	0.5	10	25	2	0.5	0.5	20	20	30	1	0.5		32
742	1	10	15	10	55	7	3	30	10	45	10	5		32
743	1	1.5	18	30	30	5	2	25	25	35	5	10		32
744	1	0.5	20	10	40	20	0.5	20	5	15	20	10		32
745	1	10	20	30	20	10	10	10	20	30	20	10		32
746	0	2	10	8	40	10	30	30	40	25	3	2		32
747	0	\N	15	20	25	\N	\N	20	10	30	\N	\N		32
748	0	30	25	16	9	3	2	29	27	20	14	8		32
749	0	3	27	28	40	1	1	27	15	43	10	5		32
750	0	8	45	33	9	4	1	45	33	9	8	1		32
751	1	7	8	26	30	7	3	20	20	20	20	20		32
752	0	20	20	15	20	10	15	20	30	30	10	10		32
753	0	5.9	26.2	12.3	34.5	9.1	12	25	15	35	12	13		32
1014	1	2.6	18.2	37.5	13.4	9	9.3	18.1	22.8	42.3	5.4	11.4		43
1015	1	9.4	16.6	19.2	31.3	14	9.5	18.3	19.7	31.5	9.2	8.3		43
1016	0	8.5	18.8	25.4	28.6	11.2	7.5	25.9	28.2	32.4	6.5	7		43
1017	0	3.1	31	26.7	33	3.9	2.3	30	27.3	35.3	4.1	3.3		43
1018	1	3.4	26	30.1	35.4	3.9	1.2	29.4	28	36.2	3.9	3.5		43
1019	1	2.7	21.8	29.1	36.1	7	3.3	26	26.7	36	6.7	4.6		43
1020	0	8.3	18.3	29.3	27.7	9.5	6.9	26	27.3	39	2	5.7		43
1021	1	7	18	28	37	5	5	21.3	18.2	38.7	12.9	8.9		43
1022	1	2	10	25	52	6	5	10	25	52	8	5		43
1023	0	56	14	40	25	20	35	24	26	43	2	5		43
1024	0	30.7	23.3	8.8	13.5	9.7	14	24.2	19.2	28.2	16.2	12.2		43
1025	0	3	13	39.5	35.7	12	2.6	18	27.3	38	1	6.2		43
1026	1	6.2	22	16	47	6	2.8	24.1	18.9	48.2	5.7	3.1		43
1027	1	5.3	20.2	6	30	6.2	2.3	23.9	30.1	38.5	4.5	3		43
1028	1	13	19	35	20	5	8	24	18	33	12	13		43
1029	1	3.8	25.6	37.5	28.1	3.8	1.2	27.8	32.4	32.5	3.2	4.1		43
1030	1	4	18.1	35.4	35.5	3.4	1.2	20	17	26	3	4		43
1031	0	6	18	30	32	5	9	21.9	23.5	35	8	10.6		43
1032	0	5	20.5	30.2	40.3	3	1	30.4	15.4	43.2	5.7	5.3		43
1033	1	9.3	10.7	12.02	36.7	18.1	13.18	32.15	20.1	43.2	1.35	3.2		43
1034	1	4	30.7	27.3	19.5	13.5	5	30.7	9.3	29.9	19.7	10.4		43
1035	1	3.04	20.15	30.12	37.64	7.05	2	21.2	33.3	39.6	4.2	1.7		43
1036	1	2.9	27.7	30.1	29.3	5.2	4.8	26.4	20.4	39.6	7.2	6.4		43
1037	1	2.5	20	32	38	6	1.5	20	31	41.5	5	2.5		43
1038	1	4	20	32	37	7	4	22	20	47	7	4		43
1039	1	1.02	21.3	36.3	35.05	4.83	1.65	24.5	31.48	37.48	4.67	1.87		43
1040	0	3	24	31.2	29.7	6.6	4.5	20	22.7	38.3	10	10		43
1041	1	6	18	29	35	6	6	21	19	40	10	10		43
1042	1	3	25	35	15	9	5	25	20	35	8	5		43
1043	0	10	10	40	30	5	5	30	10	50	3	5		43
1044	1	3	20	30	26	6	15	22	27	30	6	15		43
1045	1	3.2	19.8	30.5	23.4	7.4	10.7	25.4	27.7	35.4	1.7	9.8		43
1046	1	1.2	25.4	38.2	32.4	1.8	1.8	25	33	37.2	2	2.8		43
1047	1	6	23	3	32	2	1	24	35	34	2	5		43
