id	vota_aca	de_narvaez	insaurralde	massa	pitrola	venegas	stolbizer	comments	Curso
1	1	12.5	20	35	4.5	3.3	9.7		1
4	0	14	26	30	0.5	0.25	0.25		1
6	0	20.2	32.6	41.5	1.2	1.5	3		1
7	0	5	45	50	20	35	45		1
8	0	15	25	35	3	7	15		1
11	0	16	23.5	26.5	14	10	10		1
13	1	12.4	22.95	31.05	3.2	5.45	9.8		1
16	1	8.3	27.9	26.4	3.6	8.5	15.3		1
17	1	2.5	35.8	33.2	10.8	3.2	14.5		1
19	1	11.8	35.3	40.2	2.2	1.7	8.8		1
22	0	5	50	40	1	1	3		1
23	0	6.4	28.9	35.7	9.3	2.5	17.2		1
24	1	7	29	37	5	3	19		1
26	1	5	27	33	2	1.5	18		1
29	1	10.8	42	41	1.8	1.9	2.5		1
31	1	5	25	35	10	10	15		1
34	1	10	30	50	2	2	6		1
35	1	6.1	29.4	32.6	10.9	5	5		1
37	1	12	28	32	17	13	18		1
38	1	10	0	38	5.5	2	13		1
41	0	10	15	55	5	5	10		1
44	0	9	26	32	3	0.2	13		1
46	1	15.5	8	60.5	7.5	2.5	3		1
47	1	10	15	50	5	5	25		1
48	1	10.4	18.9	21.7	3.2	2.1	8.6		1
50	1	10	20	25	10	10	25		1
52	1	20	25	30	5	5	15		1
53	1	21	29	32	5	5	10		1
135	0	10	40	30	5	10	5		2
133	1	10	20	40	10	5	15		2
131	1	10	20	80	\N	\N	15		2
130	1	10	32	40	5	3	10		2
129	1	2	60	35	1	1	1		2
126	1	15	20	30	5	5	10		2
125	1	2	30	34	4	1	6		2
123	0	20	20	20	10	10	20		2
122	1	12	32	39	6	3	8		2
119	0	14.6	21.5	43	2.7	3.2	15		2
117	1	5	39	43	5	0	8		2
115	1	10	40	25	2.5	2.5	15		2
114	0	5	30	49	5	1	10		2
111	0	15	26	45	1	3	10		2
108	0	10	30	35	5	5	15		2
106	0	5	30	53	3	2	7		2
104	0	3.84	28.6	30.2	1.5	1.2	25.6		2
102	0	12.3	28.4	38.15	4.75	8.3	13.25		2
101	1	10.5	29.3	40.48	8.24	3.24	8.27		2
99	1	10	36	42	2	3	7		2
97	0	18.5	21.2	32.8	4.3	12.5	10.7		2
95	0	15	15	30	18	2	20		2
92	1	10	34	39	2	4	15		2
90	1	20.1	35.2	66.3	2.4	2.8	10.5		2
89	0	10	30	40	2	8	10		2
87	1	2	29.5	33.5	12	2	18		2
84	0	10	30	40	5	3	12		2
83	1	11.4	35.6	24.4	7.8	2.5	18.3		2
81	1	9.5	32.1	39.4	3.2	3	7.1		2
78	0	5	20	40	10	5	20		2
76	1	5	30	35	10	10	10		2
74	0	15.5	19.2	24.8	2.5	1.6	5.7		2
72	0	19.2	18.6	24.4	1.1	1.1	3.2		2
70	1	10	25	30	10	5	20		2
69	0	12	19	28	2	3	16		2
67	0	6.4	20.1	68.3	0.9	1.4	2.9		2
65	1	15	23.53	39.47	14.05	2.41	7.95		2
62	1	4.5	28	44.5	3.5	2	17		2
60	0	1	32	41	1	2	23		2
58	1	10	23	52	8.33	10	8.33		2
56	1	18	25	26	8	10	13		2
55	0	8	29	42	2	8	11		2
165	1	9.1	30.2	44.5	3	4.1	10.1	p	21
163	1	9	36	42	2	3	8		21
160	1	20	12	30	7	10	13		21
159	0	9.5	25.5	37.5	7.5	7.5	12.5		21
